Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
1,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/1,Requirements specification document,Closed,"",pabvald,pabvald,"adriarr, pabvald, jugonza","adriarr, pabvald, jugonza",No,No,2019-10-14,2019-10-07 10:08:07,2019-12-16 11:20:14,2019-10-24 17:34:31,Specification and environment,,Sprint 0,32400,23760
2,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/2,Domain model,Closed,"",pabvald,pabvald,"adriarr, pabvald, jugonza","adriarr, pabvald, jugonza",No,No,2019-10-21,2019-10-11 09:25:19,2019-12-16 11:20:14,2019-10-24 17:33:50,Analysis models,,Sprint 0,18000,1200
3,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/3,Environment description,Closed,Describe the development environment.,pabvald,pabvald,adriarr,adriarr,No,No,2019-11-04,2019-10-24 17:24:19,2019-12-16 11:20:14,2019-10-27 17:23:29,Specification and environment,,Sprint 1,1800,1800
4,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/4,Environment preparation,Closed,Prepare the develpment environment,pabvald,pabvald,adriarr,adriarr,No,No,2019-11-04,2019-10-24 17:25:11,2019-12-16 11:20:14,2019-11-02 10:23:11,Specification and environment,,Sprint 1,7200,0
5,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/5,UC1 - Sequence diagram in analysis,Closed,"",pabvald,pabvald,jugonza,jugonza,No,No,2019-11-04,2019-10-24 17:29:02,2019-12-16 11:20:15,2019-11-02 09:14:49,Analysis models,,Sprint 1,7200,6000
6,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/6,UC2-A  - Sequence diagram in analysis,Closed,"",pabvald,pabvald,pabvald,pabvald,No,No,2019-11-04,2019-10-24 17:29:57,2019-12-16 11:20:15,2019-11-11 14:24:44,Analysis models,,,7200,21000
7,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/7,UC3 - Sequence diagram in analysis,Closed,"",pabvald,pabvald,jugonza,jugonza,No,No,2019-11-04,2019-10-24 17:30:59,2019-12-16 11:20:15,2019-11-02 09:46:12,Analysis models,,Sprint 1,3600,3600
8,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/8,Use Case Diagram,Closed,"",pabvald,pabvald,"","",No,No,2019-11-04,2019-10-24 17:32:10,2019-12-16 11:20:15,2019-11-04 11:06:45,Analysis models,,Sprint 1,7200,5700
9,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/9,Solve problems in the  requirements specification,Closed,"* [x]  Add correctly formatted names to requirements in order to ease referencing
* [x]  Change user case descriptions from text to tables 
* [x]  Add data restrictions 
* [x]  Add crossed references to Information Requirements 
* [x]  Add proper Non-functional requirements",pabvald,pabvald,"adriarr, pabvald, jugonza","adriarr, pabvald, jugonza",No,No,2019-11-04,2019-10-24 17:39:51,2019-12-16 11:20:15,2019-11-04 11:02:24,Specification and environment,,Sprint 1,10800,25500
10,https://gitlab.inf.uva.es/pabvald/pydsc-19-29-02/issues/10,UC2-B   - Sequence diagram in analysis,Closed,"",pabvald,pabvald,jugonza,jugonza,No,No,,2019-10-31 10:27:04,2019-12-16 11:20:15,2019-11-11 14:41:07,Analysis models,,Sprint 1,0,13200
